Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Dobřany,33441,,6198,2/2013,"o stanovení míst a času, ve kterých mohou být provozovány výherní hrací přístroje a o zákazu některých sázkových her, loterií a jiných podobných her na území města",13/7/2013,x,x,x,x,x,x,x,x,pro VHP §2e) : zákaz od 1.00 do 11.00,"seznam povolených adres pro VHP, zbytek zákaz všude, zrušuje se OZV 3/2012;",
Dobříš,26301,,8767,1/2012,"o stanovení míst a času, ve kterém mohou být provozovány sázkové hry provozované pomocí elektronicky nebo elektromechanicky řízených výherních hracích přístrojů nebo podobných zařízení",1/5/2012,x,,,,,,,,od 9:00 do 2:00 hod.,seznam povolených adres;,
Doksy,47201,,,1/2012,"kterou se zrušuje OZV č. 2/2008 o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",,,,,,,,,,,zrušuje zákaz,
Dolní Benešov,74722,,4203,4/2007,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování výherních hracích přístrojů",29/10/2007,,,,,,,,,,seznam zakázaných míst;,
Dolní Břežany,25241,,3181,1/2013,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",6/3/2013,x,x,x,x,x,x,x,x,-,"zákaz na všech veřejně přístupných místech, zrušuje se OZV 16/2011;",
Dolní Dobrouč,56102,,2545,3/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,13/11/2012,x,,,x,,,x,x,,zákaz na celém území obce;,
Dolní Domaslavice,73938,,1143,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/7/2011,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Dolní Podluží,40755,,1199,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",30/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Dolní Poustevna,40782,,1941,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",29/2/2012,x,x,x,x,x,x,x,x,od 10:00 do 24:00 hod.,seznam povolených adres;,
Dolní Tošanovice,73953,,,1/2015,o regulaci provozování loterií a jiných podobných her,5/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
