Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Štěnovice,33209,,,1/2016,o regulaci provozování loterií a jiných podobných her,27/8/2016,x,x,x,x,x,x,x,x,,"seznam povolených adres, 130m od obecního úřadu, 200m od budovy základní školy, mateřské školy a od sportovních areálů (fotbalové hřiště, dětská hřiště)",
Šternberk,78501,,13677,7/2013,"o stanovení míst, ve kterých mohou být loterie a jiné podobné hry na území obce",1/10/2013,x,x,x,x,x,x,x,x,,seznam povolených adres; trušuje se OZV 8/2011,
Šternberk,78501,,13677,8/2013,"o stanovení opatření k omezení propagace některých sázkových her, loterií a jiných podobných her ",1/10/2013,x,x,x,x,x,x,x,x,,opatření k omezení propagace;,
Štětí,41108,,,3/2014,"kterou se mění obecně závazná vyhláška č. 1/2014, o regulaci provozování a propagace sázkových her, loterií a jiných podobných her",3/5/2014,x,x,x,x,x,x,x,x,,nové znění Přílohy č. 1 OZV č. 1/2014 - seznam povolených adres,
Štětí,41108,,,1/2014,"o regulaci provozování a propagace sázkových her, loterií a jiných podobných her",1/3/2014,x,x,x,x,x,x,x,x,-,seznam povolených adres,
Štětkovice,26401,,,1/2010,"o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",19/5/2010,x,,,,,,,,,zákaz v okruhu 100m od OÚ (okruh vymezen parcelními čísly),
Štítná nad Vláří-Popov,76333,,,4/2013,o zákazu provozování loterií a jiných podobných her,16/10/2013,x,,,x,,x,,,,zákaz na celém území obce,
Šumperk,78701,,27182,1/2015,"kterou se stanoví místa a čas, na kterých lze provozovat loterie a jiné podobné hry, a kterou se stanoví opatření k omezení jejich propagace",10/5/2015,x,x,x,x,x,x,x,x,lze provozovat od 00:00 do 24:00 hodin,seznam povolených adres,
Švihov,34012,,1695,1/2013,"o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",13/8/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Tábor,39001,,35198,8/2011,"o stanovení míst, na kterých je provozování loterií a jiných podobných her zakázáno",1/1/2012,x,,x,x,x,x,x,x,,", zakázané adresy. viz mapové přílohy k OZV;",
Tachov,34701,,12595,5/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/1/2014,x,x,x,x,x,x,x,x,,;,
Tehov,25101,,,4/2014,"již se zakazuje provozování sázkových her, loterií a jiných podobných her na území obce Tehov",6/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Těchonín,56166,,,1/2014,"o zákazu provozování některých sázkových her, loterií a jiných podobných her na území obce Těchonín",1/3/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Telč,58856,,,3/2014,"o stanovení veřejně přístupných míst, na kterých je provozování loterií a jiných podobných her zakázáno",31/7/2014,x,x,x,x,x,x,x,x,,seznam povolených adres,
Telnice,66459,,,2/2015,o regulaci provozování loterií a jiných podobných her ,1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Teplá,36461,,3133,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Teplá,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Teplice,41501,,,7/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her",29/12/2015,x,x,,x,x,x,x,x,,zákaz na celém území města s výjimkou kasin,
Teplice nad Bečvou,75351,,,3/2016,o regulaci provozování loterií a jiných podobných her,20/4/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Terezín,41155,,3018,5/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,zákaz od 0:00 do 10:00,;,
Těrlicko,73542,,4217,5/2011,o zákazu provozování loterií a jiných podobných her na celém území obce Těrlicko,30/6/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Tichá,74274,,1633,1/2013,o zákazu provozování výherních hracích přístrojů,28/6/2013,x,,,,,,,,,zákaz na celém území na VHP;,
Tis,58243,,,2/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území,25/2/2014,x,x,x,x,x,x,x,x,,zákaz na celém území,
Tišnov,66601,,8704,2/2014,"kterou se mění obecně závazná vyhláška města Tišnov č. 3/2012, kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Tišnov",1/7/2014,x,x,x,x,x,x,x,x,,zrušuje se přechodné ustanovení OZV 3/2012;,
Tišnov,66601,,8704,3/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Tišnova,1/3/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Tovačov,75101,,2615,1/2012,"o provozování sázkových her, loterií a jiných podobných her na území města",1/7/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Trhové Sviny,37401,,5043,1/2013,"o stanovení času, ve kterém mohou být provozovány loterie a jiné podobné hry na území obce",1/5/2013,x,,,x,,,,,"""lze provozovat Ne-Čt - 19:00-24:00, Pá-So - 19:00-02:00""",zrušuje se OZV 2/1999;,
Trmice,40004,,3193,2/2012,"kterou se zakazuje provozování sázkových her, loterií a jiných podobných her",19/12/2012,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Trojanovice,74401,,2195,1/2015,o regulaci provozování loterií a jiných podobných her,10/7/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Třebechovice pod Orebem,50346,,5801,2/2012,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území města",1/1/2012,x,x,x,x,x,x,x,x,"prac. Dny od 8 do 24.00, ostatní od 10.00 do 02.00",seznam povolených adres;,
Třebíč,67401,,37575,6/2016,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města ",1/1/2018,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Třebíč,67401,,37575,5/2016,"o regulaci míst k provozování sázkových her, loterií a jiných podobných her ",1/12/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Třeboň,37901,,8708,4/2011,"o stanovení veřejně přístupných míst, na kterých je provozování některých sázkových her, loterií a jiných podobných her zakázáno",26/4/2006,x,x,x,x,,x,x,x,,zákaz na všech veřejně přístupných místech;,
Třešť,58901,,5924,3/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města (přechodňák na VHP do 31.7.2015),
Třinec,73961,,37056,14/2013,"kterou se mění obecně závazná vyhláška č. 2/2011 o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno ve znění OZV č. 5/2011",26/11/2013,x,x,x,x,,x,x,x,,rozšíření zákazu loterií;,
Třinec,73961,,37056,2/2011,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,,,,,,,,zakázáno na všech veřejně přístupných místech;,
Třinec,73961,,37056,5/2011,"kterou se mění obecně závazná vyhláška č. 2/2011 o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,,x,,x,,x,,"zákaz na všech veřejně přístupných místech, mění 2/2011;",
Tuchlovice,27302,,2438,3/2008,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",17/12/2008,x,,,,,,,,,seznam zakázaných adres;,
Turnov,51101,,14498,1/2016,o regulaci provozování některých sázkových her,28/4/2016,,,x,,,,,,,zákaz na celém území města,
Turnov,51101,,14498,7/2012,o regulaci provozu loterií a jiných podobných her,1/1/2013,,,,x,,x,x,x,od 10.00 do 02.00,"seznam povolených adres, od 1.1.2012 ruší 6/2011!;",
Tvarožná,66405,,1217,2/2010,o regulaci provozu výherních hracích přístrojů v obci,3/12/2001,x,,,,,,,,,zákaz provozování v pohostinských zařízeních;,
Týn nad Vltavou,37501,,8280,2/2014,"o stanovení míst, na kterých je provozování některých sázkových her, loterií a jiných podobných her zakázáno, a určení času, ve kterém je provozování některých sázkových her, loterií a jiných podobných her povoleno",16/7/2014,x,x,,x,x,x,x,x,"pátek, sobota a dny předcházející dnu pracovního klidu lze od 9:00 - 1:00 násl. dne, 31.12. lze od 8:00 - 4:00 násl. dne, v ostatních dnech lze od 8:00 - 23:00","zákaz v městské památkové zóně, na povolených místech určení času",
Týnec nad Labem,28126,,2037,2/2013,o regulaci provozování loterií a jiných podobných her,25/9/2013,x,x,x,x,x,x,x,x,,"seznam 2 povolených adres, jinak zákaz;",
Úherce,33023,,,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území,
Uherské Hradiště,68601,,25597,6/2016,kterou se mění obecně závazná vyhláška města Uherské Hradiště č. 2/2014 ze dne 8.9.2014 o regulaci provozování loterií a jiných podobných her,1/10/2016,x,x,x,x,x,x,x,x,provozování je možné v hernách od 0:00 do 03:00 a od 10:00 do 24:00 hodin; v kasinech od 0:00 do 24:00 hodin,seznam povolených adres,
Uherské Hradiště,68601,,25597,2/2014,o regulaci provozování loterií a jiných podobných her,1/1/2015,x,x,x,x,x,x,x,x,"v hernách lze denně od 0:00 do 6:00 a od 8:00 do 24:00, v ostatních provozovnách lze denně od 5:30 do 24:00",seznam povolených adres,
Újezd u Brna,66453,,3115,6/2006,o provozování výherních hracích přístrojů,4/7/2006,x,,,,,,,,,zákaz ve všech objektech ve vlastnictví města +100 m;,
Unhošť,27351,,4111,1/2016,kterou se stanoví zákaz provozování sázkových her na celém katastrálním území města Unhoště,9/7/2016,,x,x,,x,x,,,,zákaz na celém území města,
Unhošť,27351,,4111,6/2012,o určení míst pro provozování jiných technických zařízení povolených Ministerstvem financí na celém katastrálním území města Unhoště,3/10/2012,,,,x,,,,x,,seznam povolených adres (jen pro IVT a §50 odst.3),
Unhošť,27351,,4111,5/2012,o určení míst pro provozování výherních hracích přístrojů na celém katastrálním území města Unhoště,3/10/2012,x,,,,,,,,,"seznam povolených adres, (jen na VHP)",
Uničov,78391,,12002,2/2013,"o stanovení míst, na kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry",9/10/2013,x,x,x,x,x,x,x,x,,"seznam povolených adres, zrušena OZV 4/2011;",
Uničov,78391,,12002,3/2013,o omezení provozu doby hostinských zařízení,9/10/2013,,,,,,,,,lze od 10:00 do 02:00h,hostinské provozovny na adresách v příloze č. 1 ,
Ústí,75501,,,1/2016,"o úplném zákazu provozování sázkových her, loterií a jiných podobných her",16/11/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Ústí nad Labem,40001,,95003,6/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Ústí nad Orlicí,56201,,,4/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Ústí nad Orlicí,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Úvaly,25082,,5958,3/2015,o regulaci provozování loterií a jiných podobných her,10/10/2015,x,x,x,x,x,x,x,x,od ponělí do neděle od 10:00 hodin do 03:00 hodin,seznam povolených adres,
Vacenovice,69606,,2212,2/2008,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/4/2008,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Valašské Meziříčí,75701,,26930,1/2015,"kterou se stanoví místa, na kterých lze provozovat loterie a jiné podobné hry",9/3/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Valeč,67553,,,1/2014,"o zákazu sázkových her, loterií a jiných podobných her na celém území obce Valeč",19/6/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Varnsdorf,40747,,15788,4/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2013,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Vejprnice,33027,,3133,3/2016,o regulaci provozování loterií a jiných podobných her,28/6/2016,x,x,x,x,x,x,x,x,,zakázaná zóna uvedená v příloze č. 1 OZV č. 3/2016,
Vejprty,43191,,3074,4/2013,"kterou se zrušuje obecně závazná vyhláška č. 2/2013, o regulaci provozování sázkových her, loterií a jiných podobných her",31/12/2014,,,,,,,,,,zrušuje OZV č. 2/2013,
Velatice,66405,,,4/2015,o regulaci provozování loterií a jiných podobných her,5/11/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Velešín,38232,,4039,2/2012,"o stanovení míst a času, ve kterém je provozování některých sázkových her povoleno",1/1/2013,x,,x,x,,x,,,"po-pá od 12.00 do 07.00, ostatní dny - neomezeně",seznam povolených adres + ruší 7/2011;,
Velešovice,68301,,1051,1/2012,o zákazu provozování loterií a jiných podobných her na celém území obce Velešovice,18/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Velhartice,34142,,909,1/2013,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování výherních hracích přístrojů",10/4/2013,x,,,,,,,,,zákaz na celém území obce;,
Velhartice,34142,,909,2/2013,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování sázkových her, loterií a jiných podobných her",10/4/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Velichovky,55211,,745,1/2011,o zákazu provozování výherních hracích přístrojů,1/8/2011,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Velká Bíteš,59501,,5000,4/2013,kterou se mění obecně závazná vyhláška č. 1/2013 o zákazu provozování loterií a jiných podobných her na celém území města Velká Bíteš,1/7/2013,x,x,x,x,x,x,x,x,,"""přidán přechodňák """"Loterie a jiné podobné hry, jejichž provozování bylo povoleno přede dnem nabytí účinnosti této vyhlášky, lze provozovat na území  města Velká Bíteš nejdéle do 31. 3. 2013"""""";",
Velká Bíteš,59501,,5000,1/2013,o zákazu provozování loterií a jiných podobných her na celém území města Velká Bíteš,1/4/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, ruší se OZV č. 1/2009;",
Velká Bystřice,78353,,3034,4/2015,o regulaci provozování loterií a jiných podobných her,6/1/2016,x,,x,x,x,x,x,x,,zákaz ve vymezené zóně ,
Velká Polom,74764,,1809,3/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,23/3/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Velké Hamry,46845,,2818,2/2011,o úplném zákazu provozování loterií a jiných podobných her na celém území obce,1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města + přechodňák;,
Velké Hoštice,74731,,1743,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/7/2013,x,,,x,,,,,,zákaz na celém území + přechodňák;,
Velké Meziříčí,59401,,11874,5/2011,o zákazu provozování loterií a jiných podobných her,1/1/2012,x,x,x,x,x,x,x,x,"(lze od 21:00 do 05:00 násl. Dne, jen pro již povolené před účinností)",zákaz na celém území města;,
Velké Přílepy,25264,,2858,1/2013,"o regulaci sázkových her, loterií a podobných her",1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Velký Bor,34101,,585,2/2016,o regulaci provozování loterií a jiných podobných her,15/4/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Velký Bor,34101,,585,1/2007,"o stanovení veřejně přístupných místr, na kterých je provozování výherních hracích přístrojů zakázáno",1/4/2012,x,,,,,,,,,seznam zakázaných adres;,
Velký Borek,27601,,983,1/2013,o zákazu provozování loterií a jiných podobných her na území obce Velký Borek,4/2/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Velký Osek,28151,,2206,1/2012,"o stanovení zákazu provozování výherních hracích přístrojů, interaktivních videoloterijních terminálů, jiných sázkových her a jiných technických hracích (herních) zařízení povolovaných podle §50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění",23/3/2012,x,,x,x,,x,,x,,povolena jedna adresa pro provozování dle §2 odst.1e a §17odst.1;,
Veltrusy,27746,,1753,5/2013,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",3/1/2014,x,,,,,,,,,"zákaz na celém území, jen VHP;",
Veltrusy,27746,,1753,1/2011,o regulaci podmínek provozování výherních hracích přístrojů,15/2/2011,x,,,,,,,,,seznam zakázaných adres;,
Veřovice,74273,,1939,1/2012,o regulaci provozování loterií a jiných podobných her,1/7/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Veselí nad Lužnicí,39181,,6541,2/2014,"o zákazu provozování některých sázkových her, loterií a jiných podobných her ",1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Větřkovice,74743,,759,9/2011,"o stanovení veřejně přístupných míst, nsa kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,,,,,,,,500 m od určitých věřejně přístupných míst;,
Větřní,38211,,4125,3/2011,"jíž se zakazuje na území obce Větřní provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení",31/12/1899,x,,,x,,,,x,,zákaz na celém území obce;,
Vilémov,58283,,994,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území městyse,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Vimperk,38501,,7829,3/2012,"k zabezpečení místních záležitostí veřejného pořádku v oblasti omezení hazardu a o stanovení veřejné přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",20/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Vimperk,38501,,7829,3/2011,,20/4/2012,,,,,,,,,,seznam povolených adres;,
Viničné Šumice,66406,,,1/2016,o regulaci provozování loterií a jiných podobných her,1/5/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Višňová,46401,,1310,1/2009,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",21/5/2008,x,,,,,,,,,zakázané části obce;,
Vítězná,54462,,1390,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,16/6/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, VHP povolené před účinností OZV lze provozovat do 31.12.2013;",
Vítkov,74901,,6153,1/2013,"kterou se zrušuje obecně závazná vyhláška města Vítkova č. 1/2008 o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",11/9/2013,x,,,,,,,,,zrušuje se OZV 1/2008;,
Vlašim,25801,,11956,5/2015,"o regulaci míst k provozování sázkových her, loterií a podobných her",18/9/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Vodňany,38901,,7014,3/2012,o regulaci provozování loterií a jiných podobných her,1/1/2012,x,,x,x,,x,,,zákaz od 0.00 do 6.00,seznam povolených adres;,
Volfartice,47112,,,1/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na území obce Volfartice",8/2/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Volyně,38701,,3180,2/2011,"o stanovení míst a času, ve kterém je provozování některých sázkových her povoleno",1/1/2012,x,,x,x,,x,,,"pá, so - od 6.00 do 24.00, jinak od 6.00 do 22.00",seznam povolených adres;,
Votice,25901,,4596,2/2015,"kterou se mění obecně závazná vyhláčka č. 2/2015, o stanovení míst, na kterých mohou být provozovány loterie a jiné podobné hry na území města Votic",1/6/2015,x,x,x,x,x,x,x,x,,mění adresu uvedenou v čl. 1 písm. b) OZV č. 2/2012,
Votice,25901,,4596,2/2012,"o stanovení míst, na kterých mohou být provozovány loterie a jiné podobné hry na území města Votic",12/7/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Vranovská Ves,67151,,,2/2015,o regulaci provozování loterií a jiných podobných her ,16/10/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Vratimov,73932,,,4/2016,"o zákazu provozování sázkových her, loterií a jiných podobných her",15/7/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Vrbno pod Pradědem,79326,,5691,3/2011,"již se zakazuje na území města Vrbna pod Pradědem provozovat výherní hrací přístroje, interaktivní videoloterní terminály a jiné podobné hry",16/2/2012,x,x,x,x,x,x,x,,,zákaz na celém území města;,
Vrchlabí,54301,,12665,1/2013,o regulaci loteriíé a jiných podobných her,1/1/2014,x,x,x,x,x,x,x,x,"v pracovní dny zákaz od 02:00 do 10:00h, so+ne+st.svátek zákaz od 04:00 do 14:00 h",seznam povolených adres;,
Vroutek,43982,,1961,2/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",16/12/2011,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Vřesina,74285,,2729,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,13/12/2012,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Vřeskovice,33401,,,4/2016,o regulaci provozování loterií a jiných podobných her,20/10/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Vsetín,75501,,27150,2/2016,"kterou se mění obecně závazná vyhláška č. 4/2015 o stanovení místa, kde lze provozovat sázkové hry a loterie a jiné podobné hry",29/6/2016,x,x,x,x,x,x,x,x,,"seznam povolených adres, mění OZV č. 4/2015",
Vsetín,75501,,27150,4/2015,"o stanovení místa, kde lze provozovat sázkové hry a loterie a jiné podobné hry ",19/1/2016,x,x,x,x,x,x,x,x,,seznam povolených adres; přechodné ustanovení do 31.12.2016,
Všeruby,33016,,1183,1/2012,"jíž se zakazuje na území obce Větřní provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle §50 odst.3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",18/6/2011,x,,,x,,,,x,,zákaz na celém území obce;,
Výrov,33141,,,4/2014,kterou se stanoví zákaz provozování loterií a jiných  podobných her na celém území obce,1/3/2014,x,x,x,x,x,x,x,x,,zákaz na celém území; přechodňák,
Vysoká Pec,43159,,858,3/2011,o regulaci provozování loterií a jiných podobných her,1/1/2012,x,x,x,x,x,x,x,x,,"zákaz na všech veřejně přístupných místech, ruší se OZV 2/2011;",
Vysoké Mýto,56601,,12634,8/2011,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města Vysokého Mýta",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Vysoké Mýto,56601,,12634,5/2007,"o stanovení času, ve kterém mohou být provozovány výherní hrací přístroje",1/1/2008,x,,,,,,,,lze od 06:00 do 22:00,;,
Vyšší Brod,38273,,,2/2016,o regulaci provozování loterií a jiných podobných her ,9/6/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Vyžlovka,28163,,,3/2016,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Vyžlovka,1/1/2017,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Zábřeh,78901,,14094,2/2012,"o stanovenéí míst, na nichž mohou být provozovány sázkové hry a loterie",12/7/2012,x,x,x,x,x,x,x,x,,seznam povolených adres + zrušuje 4/2010;,
Zádveřice-Raková,76312,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,20/3/2014,x,x,x,x,x,x,,,,"zákaz na celém území, přechodňák",
Zastávka,66484,,,3/2015,"kterou se mění vyhl. č. 2/2014, kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Zastávka",5/1/2016,x,,,x,,,x,x,,mění přechodné ustanovení OZV č. 2/2014 (lze provozovat do 31.12.2016),
Zastávka,66484,,,1/2015,"kterou se mění vyhl. č. 2/2014, kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Zastávka",26/2/2015,x,,,x,,,x,x,,mění přechodné ustanovení OZV č. 2/2014 (lze provozovat do 31.12.2015),
Zastávka,66484,,,2/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na území celé obce Zastávka,27/11/2014,x,,,x,,,x,x,,zákaz na celém území obce,
Zašová,75651,,2807,1/2011,"o stanovení veřejně přístupných míst, na kterých je provozováí výherních hracích přístrojů zakázáno",4/10/2001,x,,,,,,,,,zákaz provozování na všech veřejně přístupných místech;,
Závišice,74221,,937,1/2011,o regulaci provozování loterií a jiných podobných her,1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Zbýšov,66411,,3877,1/2001,"O stanovení okruhu vzdáleností, v němž nesmí být povoleno provozování výherních hracích přístrojů",19/3/2012,x,,,,,,,,,50 m;,
Zdice,26751,,3933,2/2012,"o stanovení míst, na kterých je provozování loterií a jiných podobných her zakázáno a času, ve kterém mohou být provozovány loterie a jiné podobné hry na ostatním území obce",23/11/2009,x,x,x,x,x,x,x,x,denně od 15:00 do 24:00,seznam zakázaných adres;,
Zlatá Olešnice,54101,,,2/2015,o regulaci provozování loterií a jiných podobných her ,21/2/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Zlín,76001,,76010,10/2013,kterou se mění obecně závazná vyhláška č.3/2012 o zákazu provozování některých druhů loterií a jiných podobných her,15/7/2013,x,x,x,x,x,x,x,x,,mění vyhlášku č. 3/2012 !!!;,
Zlín,76001,,76010,11/2012,kterou se mění obecně závazná vyhláška č.3/2012 o zákazu provozování některých druhů loterií a jiných podobných her,1/1/2013,x,x,x,x,x,x,x,x,,mění vyhlášku č. 3/2012 !!!;,
Zlín,76001,,76010,5/2012,"o regulaci provozní doby hostinských, zábavných a smíšených provozoven",12/7/2012,,,,,,,,,,omezuje provozní dobu pohostinských a podobných zařízení;,
Zlín,76001,,76010,3/2012,o zákazu provozování některých druhů loterií a jiných podobných her,1/6/2012,x,x,x,x,x,x,x,x,"vyhláška zakazuje, ale umožňuje udělení výjimky na žádost provozovatele.",;,
Znojmo,66902,,33964,5/2013,"o regulaci provozu sázkových her, loterií a jiných podobných her",11/11/2013,x,x,x,x,x,x,x,x,nelze od 6:00 do 08:00,seznam zakázaných adres (čl. 3 + příloha č. 1) + Přechodňák - protiřečí si!!!;,
Žabovřesky,37341,,420,7/2003,o provozování výherních hracích přístrojů,5/10/2011,x,,,,,,,,,výlučně v restauraích a hostincích v jejich provozní době;,
Žamberk,56401,,6072,4/2012,"kteoru se mění obecně závazná vyhláška města Žamberka č. 3/2011 o stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje nebo podobná zařízení",18/7/2012,x,,,x,,x,,,,změna/doplnění seznamu povolených adres;,
Žamberk,56401,,6072,3/2011,"o stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje nebo podobná zařízení",1/1/2011,x,,,x,,x,,,,seznam povolených adres;,
Žár,37333,,325,1/2010,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Žatčany,66453,,782,2/2011,"jíž se zakazuje na území obce Žatčany provozovat výherní hrací přístroje, interaktivní videoloterijní terminály a technická zařízení povolovaná podle §50 odst.3 zákona č. 202/119 Sb., o loteriích a jiných hrách ve znění pozdějších předpisů",24/6/2010,x,,,x,,,,x,,zákaz na celém území obce;,
Žatec,43801,,19267,5/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",22/9/2012,x,x,x,x,x,x,x,x,,zákaz na uvedených místech (pmaátkové zóny);,
Ždánice,69632,,2625,1/2016,o zabezpečení veřejného pořádku,8/3/2016,x,,,x,,x,,,,zákaz na celém území města,
Žďár nad Sázavou,59101,,,,"o zákazu provozování sázkových her, loterií a jiných podobných her na území města Žďáru nad Sázavou",1/10/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Ždírec nad Doubravou,58263,,3100,7/2011,"o stanovení času, ve kterém mohou být provozovány sázkové hry, loterie a jiné podobné hry",1/1/2012,x,x,x,x,x,x,x,x,od 10:00 do 22:00,lze na všech veřejně přístupných místech;,
Žehušice,28575,,,1/2015,o regulaci provozování loterií a jiných podobných her ,14/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
